Gmt time,Open,High,Low,Close,Volume
30.06.2016 21:00:00.000,1.11061,1.11693,1.10720,1.11365,231580.11999999997
01.07.2016 21:00:00.000,1.11365,1.11365,1.11365,1.11365,0
02.07.2016 21:00:00.000,1.11365,1.11365,1.11365,1.11365,0
03.07.2016 21:00:00.000,1.11253,1.11595,1.10979,1.11523,152214.8191
04.07.2016 21:00:00.000,1.11533,1.11863,1.10623,1.10746,213970.11159999997
05.07.2016 21:00:00.000,1.10756,1.11116,1.10291,1.10996,243265.82029999996
06.07.2016 21:00:00.000,1.10996,1.11072,1.10526,1.10617,204540.48950000003
07.07.2016 21:00:00.000,1.10604,1.11201,1.10018,1.10497,199960.8095
08.07.2016 21:00:00.000,1.10497,1.10497,1.10497,1.10497,0
09.07.2016 21:00:00.000,1.10497,1.10497,1.10497,1.10497,0
10.07.2016 21:00:00.000,1.10456,1.10746,1.10159,1.10564,198073.3606
11.07.2016 21:00:00.000,1.10563,1.11259,1.10521,1.10599,219158.32239999995
12.07.2016 21:00:00.000,1.10602,1.11199,1.10420,1.10892,224822.32929999995
13.07.2016 21:00:00.000,1.10884,1.11648,1.10875,1.11169,240710.66090000002
14.07.2016 21:00:00.000,1.11163,1.11488,1.10248,1.10295,231826.34090000004
15.07.2016 21:00:00.000,1.10295,1.10295,1.10295,1.10295,0
16.07.2016 21:00:00.000,1.10295,1.10295,1.10295,1.10295,0
17.07.2016 21:00:00.000,1.10454,1.10842,1.10376,1.10749,184778.68110000002
18.07.2016 21:00:00.000,1.10747,1.10804,1.10000,1.10195,202060.5882
19.07.2016 21:00:00.000,1.10196,1.10301,1.09815,1.10134,644212.3132999999
20.07.2016 21:00:00.000,1.10134,1.10599,1.09796,1.10243,1105321.0470000003
21.07.2016 21:00:00.000,1.10243,1.10410,1.09555,1.09754,994620.8085000002
22.07.2016 21:00:00.000,1.09754,1.09754,1.09754,1.09754,0
23.07.2016 21:00:00.000,1.09754,1.09754,1.09754,1.09754,0
24.07.2016 21:00:00.000,1.09713,1.09987,1.09519,1.09947,896479.6619999999
25.07.2016 21:00:00.000,1.09947,1.10298,1.09783,1.09862,870568.3505000001
26.07.2016 21:00:00.000,1.09862,1.10648,1.09612,1.10579,889236.8282999998
27.07.2016 21:00:00.000,1.10579,1.11195,1.10519,1.10755,1119339.148
28.07.2016 21:00:00.000,1.10748,1.11974,1.10727,1.11726,1109986.5247
29.07.2016 21:00:00.000,1.11726,1.11726,1.11726,1.11726,0
30.07.2016 21:00:00.000,1.11726,1.11726,1.11726,1.11726,0
31.07.2016 21:00:00.000,1.11726,1.11836,1.11552,1.11611,818361.1352000001
01.08.2016 21:00:00.000,1.11611,1.12336,1.11578,1.12215,1029100.5538999999
02.08.2016 21:00:00.000,1.12215,1.12268,1.11406,1.11491,905255.4234999999
03.08.2016 21:00:00.000,1.11491,1.11563,1.11140,1.11273,952442.7042
04.08.2016 21:00:00.000,1.11273,1.11612,1.10458,1.10854,875836.2855
05.08.2016 21:00:00.000,1.10854,1.10854,1.10854,1.10854,0
06.08.2016 21:00:00.000,1.10854,1.10854,1.10854,1.10854,0
07.08.2016 21:00:00.000,1.10777,1.11049,1.10721,1.10877,793851.7997999999
08.08.2016 21:00:00.000,1.10879,1.11225,1.10705,1.11163,813734.9725000003
09.08.2016 21:00:00.000,1.11164,1.11901,1.11121,1.11753,897185.7345000001
10.08.2016 21:00:00.000,1.11757,1.11914,1.11354,1.11372,782003.0211999998
11.08.2016 21:00:00.000,1.11372,1.12213,1.11313,1.11621,769045.119
12.08.2016 21:00:00.000,1.11621,1.11621,1.11621,1.11621,0
13.08.2016 21:00:00.000,1.11621,1.11621,1.11621,1.11621,0
14.08.2016 21:00:00.000,1.11670,1.12034,1.11538,1.11832,764520.9858999999
15.08.2016 21:00:00.000,1.11825,1.13223,1.11774,1.12780,879843.1266
16.08.2016 21:00:00.000,1.12776,1.13159,1.12407,1.12883,793861.2815
17.08.2016 21:00:00.000,1.12883,1.13663,1.12853,1.13529,831054.3904000003
18.08.2016 21:00:00.000,1.13528,1.13596,1.13042,1.13216,778257.0695
19.08.2016 21:00:00.000,1.13216,1.13216,1.13216,1.13216,0
20.08.2016 21:00:00.000,1.13216,1.13216,1.13216,1.13216,0
21.08.2016 21:00:00.000,1.13088,1.13306,1.12710,1.13200,1056731.5417
22.08.2016 21:00:00.000,1.13200,1.13553,1.13032,1.13052,937632.1559
23.08.2016 21:00:00.000,1.13052,1.13115,1.12452,1.12636,912469.0766999999
24.08.2016 21:00:00.000,1.12633,1.12974,1.12592,1.12840,611414.5443
25.08.2016 21:00:00.000,1.12794,1.13408,1.11804,1.11951,740307.9969000001
26.08.2016 21:00:00.000,1.11951,1.11951,1.11951,1.11951,0
27.08.2016 21:00:00.000,1.11951,1.11951,1.11951,1.11951,0
28.08.2016 21:00:00.000,1.11752,1.12077,1.11580,1.11885,807142.4647000001
29.08.2016 21:00:00.000,1.11885,1.11923,1.11321,1.11430,998822.3602
30.08.2016 21:00:00.000,1.11427,1.11654,1.11232,1.11574,1087408.2055
31.08.2016 21:00:00.000,1.11573,1.12051,1.11276,1.11965,1151142.4755000002
01.09.2016 21:00:00.000,1.11962,1.12521,1.11503,1.11539,1117497.8405
02.09.2016 21:00:00.000,1.11539,1.11539,1.11539,1.11539,0
03.09.2016 21:00:00.000,1.11539,1.11539,1.11539,1.11539,0
04.09.2016 21:00:00.000,1.11559,1.11824,1.11395,1.11468,782413.9828000001
05.09.2016 21:00:00.000,1.11467,1.12631,1.11409,1.12550,1132426.3006000002
06.09.2016 21:00:00.000,1.12550,1.12714,1.12290,1.12392,1074537.5353
07.09.2016 21:00:00.000,1.12389,1.13269,1.12345,1.12596,1226531.5250999997
08.09.2016 21:00:00.000,1.12597,1.12850,1.11985,1.12318,1192489.9378
09.09.2016 21:00:00.000,1.12318,1.12318,1.12318,1.12318,0
10.09.2016 21:00:00.000,1.12318,1.12318,1.12318,1.12318,0
11.09.2016 21:00:00.000,1.12343,1.12684,1.12103,1.12348,1203302.0434
12.09.2016 21:00:00.000,1.12347,1.12602,1.12039,1.12184,1165638.7626999996
13.09.2016 21:00:00.000,1.12184,1.12740,1.12100,1.12487,1116643.9840999998
14.09.2016 21:00:00.000,1.12487,1.12843,1.12190,1.12436,1062290.4392000001
15.09.2016 21:00:00.000,1.12426,1.12501,1.11495,1.11509,1088409.2100999998
16.09.2016 21:00:00.000,1.11509,1.11509,1.11509,1.11509,0
17.09.2016 21:00:00.000,1.11509,1.11509,1.11509,1.11509,0
18.09.2016 21:00:00.000,1.11500,1.11978,1.11497,1.11736,1152286.1641000002
19.09.2016 21:00:00.000,1.11736,1.12134,1.11499,1.11503,1123909.2545
20.09.2016 21:00:00.000,1.11502,1.11966,1.11230,1.11870,1282111.2633999998
21.09.2016 21:00:00.000,1.11870,1.12573,1.11849,1.12080,1350677.7911
22.09.2016 21:00:00.000,1.12080,1.12405,1.11938,1.12237,1202764.3743
23.09.2016 21:00:00.000,1.12237,1.12237,1.12237,1.12237,0
24.09.2016 21:00:00.000,1.12237,1.12237,1.12237,1.12237,0
25.09.2016 21:00:00.000,1.12294,1.12792,1.12211,1.12532,1201494.6242
26.09.2016 21:00:00.000,1.12532,1.12589,1.11910,1.12146,1191271.3309000002
27.09.2016 21:00:00.000,1.12145,1.12369,1.11820,1.12172,1299657.7475
28.09.2016 21:00:00.000,1.12166,1.12497,1.11968,1.12213,1377870.7883000001
29.09.2016 21:00:00.000,1.12213,1.12507,1.11533,1.12392,1469805.3427
30.09.2016 21:00:00.000,1.12392,1.12392,1.12392,1.12392,0
01.10.2016 21:00:00.000,1.12392,1.12392,1.12392,1.12392,0
02.10.2016 21:00:00.000,1.12287,1.12442,1.12052,1.12104,996708.8692999999
03.10.2016 21:00:00.000,1.12104,1.12391,1.11379,1.12027,1244796.9441
04.10.2016 21:00:00.000,1.12022,1.12333,1.11897,1.12044,1136936.5153
05.10.2016 21:00:00.000,1.12044,1.12124,1.11399,1.11497,1061039.0573
06.10.2016 21:00:00.000,1.11497,1.12051,1.11043,1.11986,1287979.5286
07.10.2016 21:00:00.000,1.11986,1.11986,1.11986,1.11986,0
08.10.2016 21:00:00.000,1.11986,1.11986,1.11986,1.11986,0
09.10.2016 21:00:00.000,1.11815,1.12032,1.11314,1.11375,996432.0684000001
10.10.2016 21:00:00.000,1.11371,1.11423,1.10488,1.10529,1043611.8573
11.10.2016 21:00:00.000,1.10533,1.10676,1.10044,1.10062,1129528.8219
12.10.2016 21:00:00.000,1.10062,1.10576,1.09855,1.10550,1040083.5800000002
13.10.2016 21:00:00.000,1.10550,1.10581,1.09705,1.09715,1101272.4075000002
14.10.2016 21:00:00.000,1.09715,1.09715,1.09715,1.09715,0
15.10.2016 21:00:00.000,1.09715,1.09715,1.09715,1.09715,0
16.10.2016 21:00:00.000,1.09690,1.10079,1.09638,1.09995,1037587.8236
17.10.2016 21:00:00.000,1.09983,1.10263,1.09700,1.09807,976335.6878999998
18.10.2016 21:00:00.000,1.09805,1.10048,1.09550,1.09736,959684.7405000001
19.10.2016 21:00:00.000,1.09736,1.10392,1.09159,1.09292,1027220.0984
